Time,Feat1,Feat2,Feat3,Feat4,Feat5,Feat6,Feat7,Y
970512,2,13,1559,6543,1519,4444,184, 0
970512,2,14,1613,7290,1614,4769,-111, 0
970512,2,15,1634,7423,1655,4955,-251, 0
970512,2,16,1793,7859,1835,5308,-179, 0
970512,2,17,2608,7988,2596,5460,42, 1
970512,2,18,2682,8020,2641,5536,-120, 1
970512,2,19,2685,8280,2646,5568,-21, 1
970512,2,20,2722,8302,2662,5560,-64, 1
970512,2,21,2764,8121,2716,5524,-113, 1
970512,2,22,2709,8040,2666,5502,-87, 1
970512,2,23,2969,8047,2911,5485,-25, 1
970512,2,24,2907,7949,2855,5502,-47, 1
970512,2,25,2638,7930,2600,5464,-161, 1
970512,2,26,2427,7852,2407,5449,-254, 1
970512,2,27,2466,7781,2457,5541,-317, 1
970512,2,28,2680,7766,2674,5564,-308, 1
970512,2,29,2568,7716,2557,5516,-291, 1
970512,2,30,2388,7655,2381,5511,-284, 1
970512,2,31,2078,7612,2071,5453,-235, 0
970512,2,32,2250,7699,2235,5435,-147, 1
970512,2,33,3171,7876,3155,5399,-346, 1
970512,2,34,3121,8128,3100,5458,-281, 1
970512,2,35,4410,8592,4331,5638,-106, 1
970512,2,36,6440,9093,6186,5912,-151, 1
970512,2,37,7084,9090,6817,5881,-47, 1
970512,2,38,5204,8894,5043,5705,-77, 1
970512,2,39,4841,8612,4716,5505,4, 1
970512,2,40,4605,8378,4488,5370,6, 1
970512,2,41,3941,8151,3853,5274,-75, 1
970512,2,42,3563,8025,3495,5172,-12, 1
970512,2,43,3485,7767,3422,5048,93, 1
970512,2,44,3002,7475,2928,4886,222, 1
970512,2,45,2855,7725,2773,4809,386, 1
970512,2,46,2529,7740,2458,4758,249, 0
970512,2,47,2788,7778,2829,5108,29, 1
970512,2,48,2721,7683,2702,5102,70, 1
970513,3,1,2918,7606,2878,4980,244, 1
970513,3,2,2320,7464,2276,4862,236, 0
970513,3,3,2482,7284,2447,5036,96, 0
970513,3,4,2072,6946,2038,4948,185, 0
970513,3,5,1630,6525,1591,4800,355, 0
970513,3,6,1522,6220,1470,4615,569, 0
970513,3,7,1503,5920,1434,4467,622, 0
970513,3,8,1465,5694,1391,4326,688, 0
970513,3,9,1512,5594,1425,4274,797, 0
970513,3,10,1519,5583,1333,4211,800, 0
970513,3,11,1394,5763,1301,4214,786, 0
970513,3,12,1485,6091,1406,4316,695, 0
970513,3,13,1553,6788,1495,4571,456, 0
970513,3,14,1653,7487,1626,4870,236, 0
970513,3,15,1613,7581,1603,5080,66, 0
970513,3,16,2269,8028,2288,5351,-155, 0
970513,3,17,3109,8065,3088,5486,-154, 1
970513,3,18,1944,8028,1930,5503,-254, 0
970513,3,19,2352,8219,2338,5542,-209, 0
970513,3,20,3306,8271,3253,5566,-73, 1
970513,3,21,2318,8176,2289,5543,-141, 0
970513,3,22,2630,8014,2607,5520,-87, 0
970513,3,23,1890,7914,1878,5513,-43, 0
970513,3,24,2000,7829,1991,5465,-26, 0
970513,3,25,1967,7793,1960,5391,-75, 0
970513,3,26,1859,7686,1861,5407,-187, 0
970513,3,27,1872,7596,1880,5478,-257, 0
970513,3,28,1904,7574,1914,5517,-247, 0
970513,3,29,1997,7592,2007,5475,-208, 0
970513,3,30,1872,7513,1881,5425,-182, 0
970513,3,31,1852,7463,1857,5370,-144, 0
970513,3,32,1930,7510,1921,5375,-113, 0
970513,3,33,1885,7609,1882,5410,-154, 0
970513,3,34,2072,7827,2063,5480,1, 0
970513,3,35,3124,8362,3031,5681,242, 1
970513,3,36,4379,8957,4167,5924,295, 1
970513,3,37,5220,8999,4907,5887,417, 1
970513,3,38,4420,8825,4177,5698,254, 1
970513,3,39,4452,8569,4239,5532,207, 1
970513,3,40,3719,8356,3576,5408,155, 1
970513,3,41,3167,8242,3062,5291,284, 1
970513,3,42,3647,8097,3503,5183,366, 1
970513,3,43,3017,7823,2893,5059,397, 1
970513,3,44,2577,7545,2481,4953,371, 1
970513,3,45,2100,7815,2032,4850,456, 0
970513,3,46,1731,7797,1690,4798,223, 0
970513,3,47,2230,7803,2259,5143,56, 0
970513,3,48,2344,7760,2193,5122,119, 0
970514,4,1,2571,7636,2508,5016,227, 1
970514,4,2,2479,7480,2426,4905,209, 1
970514,4,3,2638,7305,2598,5079,65, 1
970514,4,4,2686,6991,2639,5000,152, 1
970514,4,5,1881,6585,1836,4828,343, 0
970514,4,6,1541,6275,1488,4657,597, 0
970514,4,7,1484,5946,1410,4487,775, 0
970514,4,8,1464,5744,1331,4374,800, 0
970514,4,9,1455,5625,1279,4262,800, 0
970514,4,10,1454,5633,1351,4226,800, 0
970514,4,11,1455,5804,1373,4238,800, 0
970514,4,12,1452,6127,1361,4360,784, 0
970514,4,13,1539,6867,1475,4643,531, 0
970514,4,14,1764,7632,1731,4947,344, 0
970514,4,15,1812,7751,1769,5106,192, 0
970514,4,16,2634,8227,2610,5353,138, 1
970514,4,17,3007,8250,2949,5495,39, 1
970514,4,18,2366,8202,2365,5513,-127, 0
970514,4,19,2656,8330,2636,5529,-45, 1
970514,4,20,2715,8328,2658,5522,-32, 1
970514,4,21,2486,8184,2454,5507,-9, 1
970514,4,22,2474,8021,2443,5486,-64, 1
970514,4,23,2048,7904,2040,5461,-152, 0
970514,4,25,2111,7631,2048,5367,-66, 0
970514,4,26,2050,7601,2023,5360,-10, 0
970514,4,27,2067,7568,2047,5471,-102, 0
970514,4,28,2792,7504,2773,5470,-50, 1
970514,4,29,2179,7401,2169,5400,-81, 0
970514,4,30,1764,7344,1769,5360,-112, 0
970514,4,31,1715,7352,1724,5289,-40, 0
970514,4,32,1774,7432,1784,5311,-72, 0
970514,4,33,1761,7541,1772,5314,-83, 0
970514,4,34,1922,7891,1939,5413,23, 0
970514,4,35,2568,8387,2567,5609,-41, 1
970514,4,36,3391,8918,3262,5900,157, 1
970514,4,37,3248,8863,3131,5830,96, 1
970514,4,38,3119,8718,3030,5656,86, 1
970514,4,39,2421,8484,2387,5454,1, 1
970514,4,40,2435,8263,2413,5374,-113, 1
970514,4,41,2348,8121,2328,5255,50, 1
970514,4,42,2730,7904,2683,5157,181, 1
970514,4,43,1952,7579,1915,4985,186, 0
970514,4,44,1812,7331,1776,4849,336, 0
970514,4,45,1759,7576,1720,4747,446, 0
970514,4,46,1625,7568,1589,4726,346, 0
970514,4,47,1699,7582,1681,5056,113, 0
970514,4,48,1630,7509,1602,5036,239, 0
970515,5,1,1594,7417,1562,4931,304, 0
970515,5,2,1558,7302,1520,4861,419, 0
970515,5,3,1590,7115,1553,5012,322, 0
970515,5,4,1557,6773,1513,4907,473, 0
970515,5,5,1514,6347,1451,4731,584, 0
970515,5,6,1455,6029,1386,4562,683, 0
970515,5,7,1420,5766,1344,4399,699, 0
970515,5,8,1174,5532,1111,4262,677, 0
970515,5,9,1068,5431,1005,4178,757, 0
970515,5,10,1069,5451,1014,4160,738, 0
970515,5,11,1195,5641,1144,4208,617, 0
970515,5,12,1338,5980,1289,4314,576, 0
970515,5,13,1524,6659,1465,4609,440, 0
970515,5,14,1606,7383,1569,4900,233, 0
970515,5,15,1756,7459,1739,5104,40, 0
970515,5,16,2039,7923,2051,5369,-37, 1
970515,5,17,2293,7982,2297,5506,-167, 1
970515,5,18,2268,7901,2282,5502,-182, 1
970515,5,19,2119,8092,2116,5519,-334, 1
970515,5,20,2125,8104,2115,5469,-192, 1
970515,5,21,2112,7970,2116,5431,-99, 1
970515,5,22,1804,7774,1821,5398,-126, 0
970515,5,23,1834,7685,1837,5371,-163, 0
970515,5,24,1708,7624,1713,5359,-190, 0
970515,5,26,1738,7480,1733,5297,-184, 0
970515,5,27,1749,7449,1774,5366,-287, 0
970515,5,28,1790,7415,1818,5369,-266, 0
970515,5,29,1756,7375,1775,5333,-196, 0
970515,5,30,1693,7307,1707,5289,-133, 0
970515,5,31,1683,7233,1687,5212,-116, 0
970515,5,32,1711,7295,1713,5195,-83, 0
970515,5,33,1722,7434,1723,5168,-124, 0
970515,5,34,1810,7703,1812,5253,-37, 0
970515,5,35,1998,8149,1977,5412,49, 1
970515,5,36,3059,8607,2958,5766,0, 1
970515,5,37,3019,8605,2948,5800,-70, 1
970515,5,38,2348,8481,2319,5656,-105, 1
970515,5,39,1875,8280,1866,5491,-265, 1
970515,5,40,2574,8114,2570,5418,-224, 1
970515,5,41,1815,7984,1830,5318,-313, 0
970515,5,42,1903,7836,1918,5246,-298, 1
970515,5,43,1795,7579,1805,5056,-226, 0
970515,5,44,1733,7281,1739,4957,-150, 0
970515,5,45,1832,7619,1839,4874,70, 1
970515,5,46,1787,7699,1782,4839,-34, 0
970515,5,47,2085,7698,2129,5173,-226, 1
970515,5,48,1851,7609,1860,5119,-131, 1
970516,6,1,2355,7472,2325,5025,19, 1
970516,6,2,2280,7343,2243,4922,104, 1
970516,6,3,2094,7128,2120,5103,-111, 1
970516,6,4,1971,6772,1945,5002,53, 1
970516,6,5,1563,6330,1526,4814,351, 0
970516,6,6,1556,6053,1492,4663,502, 0
970516,6,7,1408,5766,1337,4499,707, 0
970516,6,8,1365,5556,1289,4379,649, 0
970516,6,9,1375,5471,1297,4296,671, 0
970516,6,10,1321,5479,1253,4238,709, 0
970516,6,11,1397,5653,1298,4303,765, 0
970516,6,12,1418,5975,1340,4406,688, 0
970516,6,13,1491,6605,1420,4715,450, 0
970516,6,14,1733,7361,1676,5025,202, 0
970516,6,15,1611,7362,1581,5194,109, 0
970516,6,16,1962,7940,1937,5443,92, 1
970516,6,17,3738,8130,3662,5581,5, 1
970516,6,18,3160,8075,3158,5576,86, 1
970516,6,19,2651,8339,2583,5612,128, 1
970516,6,20,2851,8424,2757,5567,248, 1
970516,6,21,2650,8330,2571,5508,237, 1
970516,6,22,2604,8253,2509,5457,253, 1
970516,6,23,2293,8154,2227,5426,220, 1
970516,6,24,1938,8087,1888,5394,311, 0
970516,6,25,1762,8028,1713,5332,335, 0
970516,6,26,1819,7949,1772,5318,336, 0
970516,6,27,1814,7915,1775,5351,246, 0
970516,6,28,1979,7860,1942,5342,133, 0
970516,6,29,1865,7803,1829,5308,143, 0
970516,6,30,1911,7749,1872,5271,215, 0
970516,6,31,1955,7748,1877,5228,98, 0
970516,6,32,2295,7915,2253,5175,206, 1
970516,6,33,2777,8081,2698,5216,224, 1
970516,6,34,3041,8348,2953,5300,202, 1
970516,6,35,2617,8668,2547,5469,106, 1
970516,6,36,3177,8913,3095,5699,21, 1
970516,6,37,2399,8751,2339,5659,62, 1
970516,6,38,2283,8551,2225,5513,74, 1
970516,6,39,2296,8267,2208,5380,75, 1
970516,6,40,2114,8111,2086,5284,-47, 1
970516,6,41,2061,8022,2049,5155,-134, 0
970516,6,42,2115,7845,2100,5089,-101, 1
970516,6,43,1837,7614,1829,4923,20, 0
970516,6,44,1736,7353,1711,4800,104, 0
970516,6,45,1815,7679,1791,4749,225, 0
970516,6,46,1811,7825,1789,4750,107, 0
970516,6,47,2247,7899,2235,5142,-34, 1
970516,6,48,2465,7787,2433,5093,30, 1
970517,7,1,2377,7628,2324,4952,186, 1
970517,7,2,1981,7429,1944,4804,96, 0
970517,7,3,2112,7176,2083,4956,-34, 1
970517,7,4,1811,6756,1784,4807,62, 0
970517,7,5,1551,6308,1516,4628,265, 0
970517,7,6,1451,6005,1399,4435,466, 0
970517,7,7,1399,5695,1334,4303,655, 0
970517,7,8,1357,5439,1288,4179,526, 0
970517,7,9,1452,5323,1375,4061,752, 0
970517,7,10,1405,5268,1322,4029,793, 0
970517,7,11,1256,5271,1154,3984,800, 0
970517,7,12,1350,5397,1264,4011,700, 0
970517,7,13,1384,5573,1311,4095,691, 0
970517,7,14,1381,5814,1318,4161,587, 0
970517,7,15,1482,6072,1413,4182,581, 0
970517,7,16,1520,6560,1464,4317,448, 0
970517,7,17,1560,7020,1514,4501,314, 0
970517,7,18,1711,7368,1681,4620,127, 0
970517,7,19,1829,7683,1817,4708,74, 0
970517,7,20,1894,7825,1883,4726,58, 0
970517,7,21,1979,7735,1967,4710,62, 1
970517,7,22,2020,7568,1999,4674,56, 1
970517,7,23,1982,7431,1957,4662,108, 1
970517,7,24,1820,7312,1800,4644,150, 0
970517,7,25,1670,7184,1632,4459,199, 0
970517,7,26,1809,7090,1774,4559,219, 0
970517,7,27,1778,6964,1742,4563,189, 0
970517,7,28,1548,6814,1514,4524,269, 0
970517,7,29,1543,6740,1500,4479,341, 0
970517,7,30,1533,6602,1480,4424,426, 0
970517,7,31,1538,6587,1476,4348,495, 0
970517,7,32,1536,6624,1474,4349,523, 0
970517,7,33,1535,6687,1475,4359,447, 0
970517,7,34,1546,6939,1497,4476,316, 0
970517,7,35,1774,7407,1753,4767,-79, 0
970517,7,36,2058,7943,2080,5090,-82, 1
970517,7,37,2058,7930,2074,5146,-23, 1
970517,7,38,2022,7688,2043,5009,-57, 1
970517,7,39,1934,7417,1927,4874,-28, 1
970517,7,40,1788,7174,1774,4750,93, 1
970517,7,41,1674,6996,1653,4678,168, 0
970517,7,42,1563,6872,1536,4584,129, 0
970517,7,43,1536,6698,1503,4521,193, 0
970517,7,44,1534,6578,1496,4472,279, 0
970517,7,45,1549,6772,1506,4492,317, 0
970517,7,46,1548,6834,1508,4521,219, 0
970517,7,47,1773,6865,1751,4833,-19, 1
970517,7,48,1734,6708,1718,4816,19, 1
970518,1,1,1714,6582,1688,4740,86, 1
970518,1,2,1552,6284,1511,4614,166, 0
970518,1,3,1619,6084,1582,4765,-11, 0
970518,1,4,1606,5815,1568,4640,138, 0
970518,1,5,1499,5516,1450,4449,306, 0
970518,1,6,1398,5325,1337,4264,450, 0
970518,1,7,1387,5145,1314,4132,640, 0
970518,1,8,1204,5004,1142,4007,566, 0
970518,1,9,1361,4941,1290,3859,610, 0
970518,1,10,1112,4879,1057,3776,620, 0
970518,1,11,1135,4934,1078,3754,619, 0
970518,1,12,1207,4950,1141,3714,766, 0
970518,1,13,1386,5076,1281,3765,791, 0
970518,1,14,1431,5228,1299,3775,800, 0
970518,1,15,1400,5403,1141,3690,755, 0
970518,1,16,1379,5786,1229,3764,788, 0
970518,1,17,1477,6224,1364,3916,756, 0
970518,1,18,1478,6575,1389,4030,734, 0
970518,1,19,1533,7004,1454,4155,670, 0
970518,1,20,1531,7139,1461,4200,604, 0
970518,1,21,1536,7118,1467,4233,553, 0
970518,1,22,1539,7056,1471,4264,505, 0
970518,1,23,1526,6972,1461,4247,540, 0
970518,1,24,1530,6909,1464,4241,516, 0
970518,1,25,1538,6816,1474,4290,406, 0
970518,1,26,1532,6706,1472,4319,476, 0
970518,1,27,1536,6582,1473,4326,438, 0
970518,1,28,1524,6462,1460,4273,487, 0
970518,1,29,1521,6390,1457,4271,491, 0
970518,1,30,1520,6384,1450,4242,530, 0
970518,1,31,1521,6387,1450,4234,550, 0
970518,1,32,1520,6458,1449,4239,572, 0
970518,1,33,1534,6679,1459,4270,609, 0
970518,1,34,1566,7105,1501,4347,507, 1
970518,1,35,1822,7565,1768,4643,256, 1
970518,1,36,2123,8018,2082,4940,-57, 1
970518,1,37,2123,8052,2062,5042,-155, 1
970518,1,38,2123,7889,2069,4960,29, 1
970518,1,39,1963,7660,1965,4868,-9, 1
970518,1,40,1905,7479,1875,4811,92, 1
970518,1,41,1774,7350,1743,4733,169, 1
970518,1,42,1711,7231,1678,4674,144, 1
970518,1,43,1768,7026,1729,4600,184, 1
970518,1,44,1691,6771,1642,4490,291, 1
970518,1,45,1828,6938,1773,4524,336, 1
970518,1,46,1790,6949,1735,4527,269, 1
970518,1,47,2091,6977,2021,4812,43, 1
970518,1,48,1900,6744,1882,4768,189, 1
970519,2,1,1875,6583,1793,4669,199, 1
970519,2,2,1552,6287,1535,4546,215, 0
970519,2,3,1743,6154,1659,4737,11, 1
970519,2,4,1531,5888,1490,4648,242, 0
970519,2,5,1514,5689,1457,4505,362, 0
970519,2,6,1445,5506,1386,4341,548, 0
970519,2,7,1410,5337,1333,4233,652, 0
970519,2,8,1332,5233,1249,4093,666, 0
970519,2,9,1090,5236,1028,4038,626, 0
970519,2,10,998,5254,946,3979,602, 0
970519,2,11,1178,5468,1112,4016,654, 0
970519,2,12,1316,5801,1246,4146,598, 0
970519,2,13,1489,6446,1418,4443,457, 0
970519,2,14,1612,7144,1560,4756,331, 1
970519,2,15,1283,7283,1152,4905,308, 0
970519,2,16,2027,7793,1920,5185,271, 1
970519,2,17,1680,7958,1617,5330,223, 1
970519,2,18,2756,8015,2669,5340,83, 1
970519,2,19,3371,8344,3274,5389,281, 1
970519,2,20,1954,8465,1896,5370,245, 1
970519,2,21,2592,8396,2507,5335,333, 1
970519,2,22,2065,8325,2000,5302,323, 1
970519,2,23,2156,8273,2086,5261,394, 1
970519,2,24,2086,8239,2019,5247,354, 1
970519,2,25,1857,8189,1797,5198,342, 1
970519,2,26,1905,8144,1845,5189,361, 1
970519,2,27,2202,8113,2136,5286,294, 1
970519,2,28,2320,8092,2253,5278,328, 1
970519,2,29,1939,8008,1882,5197,365, 1
970519,2,30,1820,7901,1772,5215,243, 1
970519,2,31,1765,7833,1721,5165,280, 0
970519,2,32,1722,7866,1672,5141,377, 0
970519,2,33,1861,8071,1806,5167,412, 1
970519,2,34,1946,8351,1873,5277,452, 1
970519,2,35,2586,8896,2387,5529,420, 1
970519,2,36,4791,9306,4469,5817,514, 1
970519,2,37,3613,9220,3447,5757,405, 1
970519,2,38,3972,8974,3857,5581,287, 1
970519,2,39,2270,8692,2173,5420,149, 1
970519,2,40,2516,8478,2411,5295,145, 1
970519,2,41,2652,8319,2539,5171,284, 1
970519,2,42,2575,8154,2463,5081,330, 1
970519,2,43,1841,7876,1778,4925,332, 0
970519,2,44,1712,7522,1642,4811,344, 0
970519,2,45,1685,7810,1636,4774,397, 0
970519,2,46,1781,7806,1544,4751,395, 0
970519,2,47,1755,7751,1745,5066,108, 0
970519,2,48,1718,7659,1691,5016,181, 0
970520,3,1,2058,7538,2006,4906,299, 1
970520,3,2,1707,7423,1659,4781,347, 0
970520,3,3,2013,7234,1961,4987,126, 0
970520,3,4,1639,6882,1599,4853,257, 0
970520,3,5,1495,6487,1446,4675,440, 0
970520,3,6,1444,6179,1384,4506,648, 0
970520,3,7,1377,5852,1302,4362,749, 0
970520,3,8,1374,5658,1286,4240,783, 0
970520,3,9,1407,5569,1261,4168,749, 0
970520,3,10,1142,5574,1070,4113,794, 0
970520,3,11,1301,5753,1186,4150,781, 0
970520,3,12,1385,6060,1296,4272,757, 0
970520,3,13,1459,6743,1378,4554,725, 0
970520,3,14,1547,7473,1492,4879,404, 0
970520,3,15,1634,7554,1589,5097,207, 0
970520,3,16,1596,8035,1559,5353,152, 0
970520,3,17,1913,8117,1803,5514,16, 0
970520,3,18,2259,8087,2216,5516,-32, 1
970520,3,19,2862,8292,2736,5557,120, 1
970520,3,20,1985,8323,1944,5519,1, 0
970520,3,21,2401,8244,2377,5484,119, 1
970520,3,22,2226,8101,2194,5469,-26, 1
970520,3,23,2034,8001,2048,5453,-100, 1
970520,3,24,1850,7910,1834,5438,-90, 0
970520,3,25,1723,7819,1708,5384,-29, 0
970520,3,26,1745,7746,1715,5382,-39, 0
970520,3,27,1964,7720,1940,5450,-117, 0
970520,3,28,2507,7720,2478,5483,-133, 1
970520,3,29,1927,7701,1909,5433,-9, 0
970520,3,30,1815,7625,1795,5394,-75, 0
970520,3,31,1761,7619,1741,5331,-25, 0
970520,3,32,1725,7681,1697,5213,43, 0
970520,3,33,2267,7861,2230,5370,173, 1
970520,3,34,2357,8172,2310,5461,259, 1
970520,3,35,2790,8708,2710,5703,97, 1
970520,3,36,3185,9102,3086,5946,76, 1
970520,3,37,3059,9016,3054,5901,64, 1
970520,3,38,2512,8808,2448,5704,94, 1
970520,3,39,1949,8541,1911,5541,-62, 0
970520,3,40,1993,8321,1963,5443,-3, 1
970520,3,41,1780,8162,1753,5318,10, 0
970520,3,42,2321,8033,2278,5225,102, 1
970520,3,43,1736,7742,1713,5061,167, 0
970520,3,44,1781,7452,1740,4939,263, 0
970520,3,45,1789,7742,1742,4884,377, 0
970520,3,46,1603,7746,1563,4827,343, 0
970520,3,47,1782,7774,1750,5139,49, 0
970520,3,48,1842,7740,1823,5093,156, 0
970521,4,1,2297,7626,2233,4985,398, 1
970521,4,2,1945,7472,1885,4924,288, 1
970521,4,3,2068,7293,2019,5123,88, 1
970521,4,4,1641,6895,1600,4998,208, 0
970521,4,5,1496,6524,1447,4812,414, 0
970521,4,6,1428,6194,1359,4634,595, 0
970521,4,7,1399,5899,1316,4481,711, 0
970521,4,8,1358,5689,1272,4350,712, 0
970521,4,9,1217,5539,1143,4216,723, 0
970521,4,10,1130,5525,1064,4183,696, 0
970521,4,11,1240,5125,1154,4210,656, 0
970521,4,12,1356,6034,1282,4340,680, 0
970521,4,13,1438,6672,1365,4635,478, 0
970521,4,14,1510,7416,1464,4967,366, 0
970521,4,15,1593,7596,1553,5175,213, 0
970521,4,16,1622,8105,1598,5435,70, 0
970521,4,17,1778,8102,1725,5546,33, 0
970521,4,18,2054,8093,2019,5584,-79, 1
970521,4,19,3129,8316,3053,5643,87, 1
970521,4,20,2777,8354,2691,5621,208, 1
970521,4,21,2145,8231,2088,5601,-13, 1
970521,4,22,1803,8061,1770,5576,-69, 0
970521,4,23,1807,7928,1791,5547,-99, 0
970521,4,24,1700,7867,1667,5512,27, 0
970521,4,25,1639,7792,1583,5459,85, 0
970521,4,26,1613,7709,1570,5443,30, 0
970521,4,27,1644,7703,1606,5527,-58, 0
970521,4,28,2367,7657,2329,5546,-72, 1
970521,4,29,2100,7525,2076,5543,-52, 1
970521,4,30,1705,7558,1681,5510,-41, 0
970521,4,31,1693,7505,1666,5462,3, 0
970521,4,32,1703,7600,1675,5485,-12, 0
970521,4,33,2218,7797,2171,5521,115, 1
970521,4,34,3112,8089,3036,5627,121, 1
970521,4,35,2481,8558,2411,5804,223, 1
970521,4,36,2791,8928,2696,5976,129, 1
970521,4,37,2400,8824,2325,5892,127, 1
970521,4,38,2194,8604,2127,5686,105, 1
970521,4,39,1674,8332,1632,5488,124, 0
970521,4,40,1773,8107,1724,5372,182, 0
970521,4,41,1675,7947,1633,5266,197, 0
970521,4,42,1893,7758,1840,5154,242, 1
970521,4,43,1658,7464,1616,5071,340, 0
970521,4,44,1627,7248,1573,4961,406, 0
970521,4,45,1599,7540,1546,4900,433, 0
970521,4,46,1544,7599,1501,4881,295, 0
970521,4,47,1668,7630,1640,5145,141, 0
970521,4,48,1693,7537,1668,5141,174, 0
970522,5,1,1803,7441,1765,4999,248, 0
970522,5,2,1573,7289,1532,4865,313, 0
970522,5,3,1646,7115,1608,5035,145, 0
970522,5,4,1547,6748,1509,4919,148, 0
970522,5,5,1498,6361,1466,4708,128, 0
970522,5,6,1446,6069,1411,4525,335, 0
970522,5,7,1393,5738,1339,4335,504, 0
970522,5,8,1350,5543,1278,4253,633, 0
970522,5,9,1213,5452,1148,4159,666, 0
970522,5,10,1211,5440,1146,4130,634, 0
970522,5,11,1305,5643,1231,4179,731, 0
970522,5,12,1392,5955,1310,4298,686, 0
970522,5,13,1424,6630,1354,4578,522, 0
970522,5,14,1485,7346,1442,4890,297, 0
970522,5,15,1675,7472,1649,5129,165, 0
970522,5,16,1971,7877,1938,5437,286, 1
970522,5,17,2323,7965,2250,5567,118, 1
970522,5,18,2171,7912,2211,5581,-79, 1
970522,5,19,2025,8097,2005,5603,12, 1
970522,5,20,1662,8107,1658,5580,-148, 0
970522,5,21,1898,7958,1961,5586,-142, 1
970522,5,22,1779,7837,1921,5554,-150, 0
970522,5,23,1813,7749,1816,5556,-214, 1
970522,5,24,1865,7696,1847,5546,-127, 1
970522,5,25,2105,7622,2073,5473,-79, 1
970522,5,26,1775,7566,1936,5459,-121, 0
970522,5,27,1694,7544,1895,5512,-56, 0
970522,5,28,1503,7516,1846,5521,-56, 0
970522,5,29,1643,7482,1893,5487,-56, 0
970522,5,30,1545,7456,1770,5449,-62, 0
970522,5,31,1626,7430,1614,5382,-115, 0
970522,5,32,1628,7523,1614,5374,11, 0
970522,5,33,1906,7702,1877,5394,153, 1
970522,5,34,1846,7994,1835,5484,166, 1
970522,5,35,2460,8433,2429,5694,86, 1
970522,5,36,3440,8808,3352,5902,10, 1
970522,5,37,2799,8752,2723,5851,0, 1
970522,5,38,2424,8564,2356,5681,91, 1
970522,5,39,2347,8335,2284,5503,101, 1
970522,5,40,2020,8157,1976,5409,184, 1
970522,5,41,1871,8033,1839,5328,160, 1
970522,5,42,2200,7860,2142,5228,246, 1
970522,5,43,1638,7534,1596,5054,162, 0
970522,5,44,1483,7261,1447,4914,342, 0
970522,5,45,1470,7527,1429,4877,392, 0
970522,5,46,1485,7620,1448,4818,312, 0
970522,5,47,1534,7698,1513,5130,158, 0
970522,5,48,1844,7640,1869,5150,238, 1
